row_id,bir,ki,bu,nə,aşıq,ey,hər,ilə,kim,mən,o,i,də,ol,ələsgər,kimi,sən,var,oldu,da,çox,mənim,məni,gün,dedi,can,tək,idi,mənə,olur
0,2,0,0,0,0,3,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0
2,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
3,3,1,0,0,0,3,0,0,3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0
4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1
5,3,2,1,1,0,1,1,3,1,0,0,0,0,1,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0
6,1,4,1,0,0,2,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,4,1,2,0,0,2,0,1,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8,1,2,0,1,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
9,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
12,14,13,11,6,0,2,13,10,20,6,0,6,0,8,0,2,1,3,3,0,1,0,4,3,0,2,0,1,4,1
13,2,1,2,2,0,1,1,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,5,0,0
14,0,1,2,1,0,1,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
15,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
16,1,1,1,0,0,0,0,2,1,0,0,2,0,1,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1
17,1,1,1,1,0,0,2,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
18,0,0,0,0,0,1,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,4,1,2,0,0,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
20,7,10,1,2,0,1,3,8,2,2,0,4,0,6,0,1,1,5,1,0,0,1,0,2,1,0,2,4,3,0
21,0,0,0,1,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2,0,1,0,0,3,1,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,2,3,0,2,0,0,0,2
23,2,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
24,1,0,0,1,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,4,8,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0
26,1,0,0,0,0,1,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4,3,0,0,0,0,1,0,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,1,2,1,1,0,2,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
30,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
31,1,0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
32,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
33,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
34,1,4,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
35,1,1,1,2,0,3,0,1,1,3,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,3,0,0,0,1
36,1,1,1,1,0,2,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,1,0,1,0,0,1,0,0,4,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,4,2,1,0,0,1,2,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
